frequency (Hz);Avg Error %;Min Error %;Max Error %
9765620.0;0.00017794063008111962;2.4007767428122543e-06;0.001458970166924466
9960940.0;0.0002303256784551503;6.9667834899628246e-06;0.002229961561194891
10156200.0;0.00029151799988046036;2.1261812733645242e-06;0.0036745904458648383
10351600.0;0.0003819714354426385;9.115473094718853e-06;0.0030280356444560477
10546900.0;0.0001343769577425244;4.768357223367702e-06;0.0004569148703467719
10742200.0;0.00012523780766818008;2.859165175619145e-07;0.0006148697158413105
10937500.0;0.00010662968750379668;5.302012479691924e-07;0.00035366390504781733
11132800.0;0.0003972011061279219;4.802496637016179e-06;0.008832892647738183
11328100.0;0.0002188991489279648;2.807396620205943e-06;0.0015662515262952045
11523400.0;0.00040842008825238445;3.358888728287461e-06;0.007188326569015411
11718800.0;0.00012603580140707802;1.1403744618624278e-07;0.000679002105731202
11914100.0;0.0001245602522434585;1.895154251776076e-06;0.000457469259996306
12109400.0;0.00021464555865941616;4.520464347111397e-06;0.0014287287445204422
12304700.0;0.00010724496714647431;4.74241166452744e-07;0.0005112421741438498
12500000.0;0.0001648649626744831;3.984643191135988e-06;0.0015383447326727184
12695300.0;0.00013487721017873397;3.1103940121958177e-06;0.0005689707463983869
12890600.0;0.00017814742453156602;3.2568364880056803e-06;0.001202762212989026
13085900.0;0.0001359151462239936;2.3124728124630834e-06;0.0007508556540457758
13281200.0;0.00010764352445103055;7.093648506123866e-07;0.0004048411767670797
13476600.0;0.0001521759291401817;3.191334057688913e-06;0.0006775430306226254
13671900.0;0.00022012146641049092;1.7923641780248916e-06;0.0017274018294958942
13867200.0;0.0001940497132831109;4.752648165403414e-06;0.0017273077041269405
14062500.0;0.00015893063478407746;3.3173497298303954e-06;0.0005353855959136149
14257800.0;0.0001893652216204261;2.143017962912779e-06;0.0009926583891102085
14453100.0;0.00020163288728844894;7.341767867566299e-07;0.0019707492507878956
14648400.0;0.00029910455794875384;2.9742464598267036e-06;0.0041572618907193765
14843800.0;0.0001864433827162428;2.9147070672741817e-06;0.002390527342692563
15039100.0;0.00017316076719444356;3.841516828613935e-06;0.0011956633751096556
15234400.0;0.00014084175752341764;2.971111757311361e-06;0.0009585285412447837
15429700.0;0.00018619212251167041;1.9322062706554572e-07;0.0015289628524238607
15625000.0;0.00010184175550249982;1.5064205419106294e-06;0.00033541969555568417
15820300.0;0.00016061914870119288;5.836538296006062e-06;0.0012903722499949372
16015600.0;0.00020607669459378247;8.338762723856867e-06;0.001405896569266821
16210900.0;0.00020485131653650055;9.964479861528464e-07;0.0017238085542812648
16406200.0;0.0001795748002472067;2.216002788258311e-06;0.0015959679268800118
16601600.0;0.00020474402251827666;9.008821559174433e-07;0.0016243712989002798
16796900.0;0.00019389641710618075;8.086608736692942e-07;0.002473235039135285
16992200.0;0.00014960713294151634;6.855704107740618e-06;0.0005977298848074499
17187500.0;0.0001105090552156684;1.8209829162937975e-07;0.00035999837513192785
17382800.0;0.00016757273261430456;2.446878208949821e-06;0.0012398416074353266
17578100.0;0.00018311444568960868;3.914059444517801e-06;0.0016066795923869478
17773400.0;0.00014539097190227455;1.8265904888215184e-07;0.000648910849475043
17968800.0;0.00018443279913808044;5.1825220350321105e-06;0.0022228204748548927
18164100.0;0.00018694355729025267;5.969691673615298e-06;0.0020898341407647293
18359400.0;0.00012203566370399185;1.1550087470266757e-07;0.0005001427290195809
18554700.0;0.00015451709202100815;7.769098425925387e-06;0.0007289383503593507
18750000.0;0.0001303187357495599;1.8969675638329235e-06;0.0009665122136184803
18945300.0;0.00013687493019145765;7.835394912362711e-06;0.0005646554792558305
19140600.0;0.00013965954262612414;1.9813596922762468e-06;0.0006793985212709516
19335900.0;0.0001443895797570686;7.1881166428992016e-06;0.0005357547407912355
19531200.0;0.00012805266945770493;5.772301043274492e-08;0.0004402977628241376
19726600.0;0.00013423744867401357;1.7615061788566376e-05;0.0004701954225034407
19921900.0;0.0001335679212505856;1.2817078924343168e-06;0.0004302545378789989
20117200.0;0.00015057761319699008;2.123447441530499e-06;0.0004392519076082739
20312500.0;0.00011687828518467868;1.4449026959993103e-06;0.0003191095661576774
20507800.0;0.00011219931647335638;1.0416165400728103e-06;0.00033971469313879806
20703100.0;0.00012265950068136768;7.295345390721442e-07;0.0003638440063038804
20898400.0;0.00012996413688293868;6.979749010412641e-06;0.00047713511515050627
21093800.0;0.00013134661560331115;1.4265353684185215e-06;0.0009659107533255624
21289100.0;0.00011443884282461293;1.4145437808128473e-06;0.0006401697348344244
21484400.0;0.00017657608221261571;6.205590930622639e-06;0.0013798230663967178
21679700.0;0.00015683987853218478;2.565427203490417e-06;0.0013592394833845847
21875000.0;0.00012456913486894275;3.3544443331103805e-06;0.0004774144242982758
22070300.0;9.857770193674705e-05;4.132227716261939e-07;0.00028942025518570566
22265600.0;0.00012171653585787192;1.6186567794956257e-06;0.0003182425664072943
22460900.0;0.00011954149054428813;2.8096923620918224e-07;0.0008199726288459829
22656200.0;0.00012161597175070296;3.7509282522587655e-06;0.0003679940916135544
22851600.0;0.00011736744244483988;3.2710341426643526e-06;0.0003777161993041186
23046900.0;0.00010590795915802097;7.701959470174516e-07;0.00034469049923984416
23242200.0;0.00011833416044336708;7.675667268684034e-06;0.0004276996058949519
23437500.0;9.638742784429727e-05;1.6589263581331076e-06;0.0004319419931689405
23632800.0;0.00010415414042077008;7.325343758984946e-06;0.000301292466184518
