subband index,frequency (Hz),Avg Error %,Min Error %,Max Error %,Avg Error,Min Error,Max Error,Min Out,Max Out,Min Ref,Max Ref,Shift,Range Size %,Ref Range,Avg Err/Range,Min Err/Range,Max Err/Range
58,1.13E+07,9.54842,0.00123367,129.836,635593,135.75,1.34E+07,-860160,1.16E+08,1.61E+06,1.26E+08,6.23E+06,9.40E+01,124774650,0.5093927332,0.0001087961377,1.07E+01
59,1.15E+07,10.2637,0.001208,199.551,6.78E+06,304,1.47E+08,-1.89E+07,1.17E+09,1.61E+07,1.28E+09,6.90E+07,9.46E+01,1261313500,5.38E-01,0.0000241018589,1.17E+01
60,1.17E+07,2.63519,0.000423307,13.8178,11752.7,2.6875,131506,250880,1.27E+06,259025,1.38E+06,57192.5,9.12E+01,1116975,1.052190067,0.000240605206,11.77340585
61,1.19E+07,2.83744,0.000453142,12.5533,16341.6,1.53125,223618,278528,1.97E+06,294559,2.16E+06,99170.5,9.11E+01,1862021,0.8776270515,0.00008223591463,12.00942417
62,1.21E+07,9.95591,0.0025606,185.236,236439,36.5,5.61E+06,-778240,4.19E+07,654280,4.65E+07,3009010,9.31E+01,45874220,0.5154071284,0.00007956538553,1.22E+01
63,1.23E+07,2.43582,5.34E-05,15.7159,8118.01,0.15625,65988.9,205824,823296,226537,887357,42387,93.44027118,660820,1.228475228,0.00002364486547,9.985911443
64,1.25E+07,4.58217,0.00127763,36.6529,40456.7,5.46875,716613,282624,5.51E+06,338554,6.11E+06,328295,9.06E+01,5767126,0.7015053945,0.00009482626182,12.42582527
65,1.27E+07,3.71278,0.000450372,14.64,29616.5,2.09375,315727,393216,2.46E+06,407581,2.74E+06,148537.5,8.85E+01,2332729,1.2696074,0.0000897553895,13.53466262
66,1.29E+07,9.62435,0.000237905,99.847,3.13E+06,782,7.52E+07,37376,4.87E+08,9.39E+06,5.49E+08,3.61E+07,9.01E+01,539977320,5.79E-01,0.0001448208973,1.39E+01
67,1.31E+07,6.91556,0.0020972,60.7203,142205,39,3.05E+06,614400,2.10E+07,723110,2.35E+07,1329305,8.93E+01,22798290,0.6237529218,0.0001710654615,1.34E+01
68,1.33E+07,2.31875,0.0002255,8.93092,6793.68,0.46875,45591.2,177152,487424,176880,521192,16748,90.11361788,344312,1.973117405,0.0001361410581,13.24124631
69,1.35E+07,6.35351,0.000337298,70.9295,168592,5.25,2.67E+06,419840,1.98E+07,969367,2.22E+07,1498963.5,9.11E+01,21270933,0.7925933479,0.00002468156897,1.26E+01
